APNXId,displayName,dataProvider,DataCost,MinCPM,PercentOfMedia,member_id,provider,code,subtype
106038,Behavioral:Sports:Soccer,Lotame,0.75,,,422,,4884,
106039,Behavioral:Sports:Water Sports,Lotame,0.75,,,422,,3842,
106040,Behavioral:Travel,Lotame,0.75,,,422,,2743,
106041,Behavioral:Travel:Domestic,Lotame,0.75,,,422,,3794,
106042,Behavioral:Travel:International,Lotame,0.75,,,422,,3791,
106043,Behavioral:Travel:Vacation,Lotame,0.75,,,422,,3998,
106210,Business Travelers,exelate,1,,,39,exelate,1102,Smart Segments
106229,Social Influencers,exelate,1,,,39,exelate,1099,Smart Segments
123845,Behavioral:Hybrid Cars,Lotame,0.75,,,422,,5581,
123846,Behavioral:Sport Utility Vehicles (SUVs),Lotame,0.75,,,422,,5600,
123847,Behavioral:Motorcycles,Lotame,0.75,,,422,,5599,
123848,Behavioral:Sports:Golf,Lotame,0.75,,,422,,5526,
123849,Behavioral:Sports:Hockey,Lotame,0.75,,,422,,5551,
123850,Behavioral:Video Games:Handheld Games,Lotame,0.75,,,422,,5601,
123851,Social Media Users,Lotame,,,,422,,2714,
123852,Behavioral:Mobile Phones,Lotame,0.75,,,422,,5609,
123853,Behavioral:Finance:Personal Finance,Lotame,0.75,,,422,,5604,
131277,Behavioral:Healthy Living:Health & Fitness,Lotame,0.75,,,422,,2726,
132746,Behavioral:Healthy Living:Dieting & Weight Loss,Lotame,0.75,,,422,,5603,
132747,Behavioral:News:Government & Politics,Lotame,0.75,,,422,,5900,
132748,Behavioral:News:News & Current Events,Lotame,0.75,,,422,,5606,
132749,Advanced Demo:Hispanics or Spanish Speakers,Lotame,0.75,,,422,,5901,
155938,Advanced Demo:Declared Parents,Lotame,0.75,,,422,,6281,Advanced Demo
155939,Advanced Demo:Declared Dads,Lotame,0.75,,,422,,6115,Advanced Demo
155940,Advanced Demo:Parents of Infants,Lotame,0.75,,,422,,6120,Advanced Demo
155941,Advanced Demo:Parents of Toddlers,Lotame,0.75,,,422,,6121,Advanced Demo
155942,Advanced Demo:Parents of Young Children,Lotame,0.75,,,422,,6122,Advanced Demo
155943,Advanced Demo:Parents of Pre-Teens,Lotame,0.75,,,422,,6123,Advanced Demo
155944,Advanced Demo:Parents of Teens,Lotame,0.75,,,422,,6124,Advanced Demo
155945,Advanced Demo:Level of Education:High School Degree,Lotame,0.75,,,422,,6126,Advanced Demo
155946,Advanced Demo:Level of Education:Some College,Lotame,0.75,,,422,,6127,Advanced Demo
155947,Advanced Demo:Level of Education:College Degree,Lotame,0.75,,,422,,6128,Advanced Demo
155948,Advanced Demo:Level of Education:Advanced Degree,Lotame,0.75,,,422,,6129,Advanced Demo
155949,Advanced Demo:Relationship Status:Divorced,Lotame,0.75,,,422,,6149,Advanced Demo
155950,Advanced Demo:Relationship Status:Engaged,Lotame,0.75,,,422,,6150,Advanced Demo
155951,Advanced Demo:Relationship Status:In a Relationship,Lotame,0.75,,,422,,6151,Advanced Demo
155952,Advanced Demo:Relationship Status:Single,Lotame,0.75,,,422,,6152,Advanced Demo
155953,Advanced Demo:Relationship Status:Married,Lotame,0.75,,,422,,6153,Advanced Demo
155954,Advanced Demo:Relationship Status:Widowed,Lotame,0.75,,,422,,6154,Advanced Demo
155955,Advanced Demo:HHI,Lotame,0.75,,,422,,6130,Advanced Demo
155956,Advanced Demo:HHI $25k-$59k,Lotame,0.75,,,422,,6131,Advanced Demo
155957,Advanced Demo:HHI $60k-$74k,Lotame,0.75,,,422,,6132,Advanced Demo
155958,Advanced Demo:HHI $75k-$99k,Lotame,0.75,,,422,,6133,Advanced Demo
155959,Advanced Demo:HHI $100k +,Lotame,0.75,,,422,,6134,Advanced Demo
155960,Advanced Demo:Primary Residence:Apartment,Lotame,0.75,,,422,,6135,Advanced Demo
155961,Advanced Demo:Primary Residence:Condo,Lotame,0.75,,,422,,6136,Advanced Demo
155962,Advanced Demo:Primary Residence:Single-Family House,Lotame,0.75,,,422,,6137,Advanced Demo
155963,Advanced Demo:Primary Residence:Vacation Home,Lotame,0.75,,,422,,6138,Advanced Demo
155964,Advanced Demo:Time at Primary Residence,Lotame,,,,422,,6143,Advanced Demo
155965,Advanced Demo:Time at Primary Residence:3-5 Years,Lotame,0.75,,,422,,6144,Advanced Demo
