ProvinceName,MetroName,MetroCode,CriteriaId
Michigan,Grand Rapids-Kalamazoo-Battle Creek MI,563,200563
Michigan,Green Bay-Appleton WI,658,200658
Michigan,Lansing MI,551,200551
Michigan,Marquette MI,553,200553
Michigan,South Bend-Elkhart IN,588,200588
Michigan,Toledo OH,547,200547
Michigan,Traverse City-Cadillac MI,540,200540
Minnesota,Duluth MN-Superior WI,676,200676
Minnesota,Fargo-Valley City ND,724,200724
Minnesota,La Crosse-Eau Claire WI,702,200702
Minnesota,Mankato MN,737,200737
Minnesota,Minneapolis-St. Paul MN,613,200613
Minnesota,Rochester MN-Mason City IA-Austin MN,611,200611
Minnesota,Sioux Falls(Mitchell) SD,725,200725
Mississippi,Baton Rouge LA,716,200716
Mississippi,Biloxi-Gulfport MS,746,200746
Mississippi,Columbus-Tupelo-West Point MS,673,200673
Mississippi,Greenwood-Greenville MS,647,200647
Mississippi,Hattiesburg-Laurel MS,710,200710
Mississippi,Jackson MS,718,200718
Mississippi,Memphis TN,640,200640
Mississippi,Meridian MS,711,200711
Mississippi,Mobile AL-Pensacola (Ft. Walton Beach) FL,686,200686
Mississippi,New Orleans LA,622,200622
Missouri,Columbia-Jefferson City MO,604,200604
Missouri,Des Moines-Ames IA,679,200679
Missouri,Joplin MO-Pittsburg KS,603,200603
Missouri,Kansas City MO,616,200616
Missouri,Memphis TN,640,200640
Missouri,Omaha NE,652,200652
Missouri,Ottumwa IA-Kirksville MO,631,200631
Missouri,Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,632,200632
Missouri,Quincy IL-Hannibal MO-Keokuk IA,717,200717
Missouri,Springfield MO,619,200619
Missouri,St. Joseph MO,638,200638
Missouri,St. Louis MO,609,200609
Montana,Billings MT,756,200756
Montana,Butte-Bozeman MT,754,200754
Montana,Glendive MT,798,200798
Montana,Great Falls MT,755,200755
Montana,Helena MT,766,200766
Montana,Minot-Bismarck-Dickinson(Williston) ND,687,200687
Montana,Missoula MT,762,200762
Montana,Rapid City SD,764,200764
Montana,Spokane WA,881,200881
Nebraska,Cheyenne WY-Scottsbluff NE,759,200759
Nebraska,Lincoln & Hastings-Kearney NE,722,200722
Nebraska,North Platte NE,740,200740
Nebraska,Omaha NE,652,200652
Nebraska,Rapid City SD,764,200764
Nebraska,Sioux City IA,624,200624
Nebraska,Wichita-Hutchinson KS,678,200678
Nevada,Las Vegas NV,839,200839
Nevada,Reno NV,811,200811
Nevada,Salt Lake City UT,770,200770
New Hampshire,Boston MA-Manchester NH,506,200506
New Hampshire,Burlington VT-Plattsburgh NY,523,200523
New Hampshire,Portland-Auburn ME,500,200500
New Jersey,New York NY,501,200501
New Jersey,Philadelphia PA,504,200504
New Mexico,Albuquerque-Santa Fe NM,790,200790
New Mexico,Amarillo TX,634,200634
New Mexico,El Paso TX,765,200765
New Mexico,Odessa-Midland TX,633,200633
New York,Albany-Schenectady-Troy NY,532,200532
New York,Binghamton NY,502,200502
New York,Buffalo NY,514,200514
New York,Burlington VT-Plattsburgh NY,523,200523
New York,Elmira NY,565,200565
New York,New York NY,501,200501
New York,Rochester NY,538,200538
New York,Syracuse NY,555,200555
New York,Utica NY,526,200526
New York,Watertown NY,549,200549
North Carolina,Atlanta GA,524,200524
North Carolina,Charlotte NC,517,200517
North Carolina,Chattanooga TN,575,200575
North Carolina,Florence-Myrtle Beach SC,570,200570
North Carolina,Greensboro-High Point-Winston Salem NC,518,200518
North Carolina,Greenville-New Bern-Washington NC,545,200545
North Carolina,Greenville-Spartanburg SC-Asheville NC-Anderson SC,567,200567
North Carolina,Norfolk-Portsmouth-Newport News VA,544,200544
North Carolina,Raleigh-Durham (Fayetteville) NC,560,200560
North Carolina,Wilmington NC,550,200550
North Dakota,Fargo-Valley City ND,724,200724
North Dakota,Minot-Bismarck-Dickinson(Williston) ND,687,200687
Ohio,Charleston-Huntington WV,564,200564
Ohio,Cincinnati OH,515,200515
Ohio,Cleveland-Akron (Canton) OH,510,200510
Ohio,Columbus OH,535,200535
Ohio,Dayton OH,542,200542
Ohio,Ft. Wayne IN,509,200509
Ohio,Lima OH,558,200558
Ohio,Parkersburg WV,597,200597
Ohio,Toledo OH,547,200547
Ohio,Wheeling WV-Steubenville OH,554,200554
Ohio,Youngstown OH,536,200536
Ohio,Zanesville OH,596,200596
Oklahoma,Amarillo TX,634,200634
Oklahoma,Ft. Smith-Fayetteville-Springdale-Rogers AR,670,200670
Oklahoma,Joplin MO-Pittsburg KS,603,200603
Oklahoma,Oklahoma City OK,650,200650
Oklahoma,Sherman TX-Ada OK,657,200657
Oklahoma,Shreveport LA,612,200612
Oklahoma,Tulsa OK,671,200671
Oklahoma,Wichita Falls TX & Lawton OK,627,200627
Oregon,Bend OR,821,200821
Oregon,Boise ID,757,200757
Oregon,Eugene OR,801,200801
Oregon,Medford-Klamath Falls OR,813,200813
Oregon,Portland OR,820,200820
Oregon,Spokane WA,881,200881
Oregon,Yakima-Pasco-Richland-Kennewick WA,810,200810
Pennsylvania,Buffalo NY,514,200514
Pennsylvania,Elmira NY,565,200565
Pennsylvania,Erie PA,516,200516
Pennsylvania,Harrisburg-Lancaster-Lebanon-York PA,566,200566
Pennsylvania,Johnstown-Altoona PA,574,200574
Pennsylvania,New York NY,501,200501
Pennsylvania,Philadelphia PA,504,200504
Pennsylvania,Pittsburgh PA,508,200508
Pennsylvania,Washington DC (Hagerstown MD),511,200511
Pennsylvania,Wilkes Barre-Scranton PA,577,200577
Pennsylvania,Youngstown OH,536,200536
Rhode Island,Providence RI-New Bedford MA,521,200521
South Carolina,Augusta GA,520,200520
South Carolina,Charleston SC,519,200519
South Carolina,Charlotte NC,517,200517
South Carolina,Columbia SC,546,200546
South Carolina,Florence-Myrtle Beach SC,570,200570
South Carolina,Greenville-Spartanburg SC-Asheville NC-Anderson SC,567,200567
South Carolina,Savannah GA,507,200507
South Dakota,Minot-Bismarck-Dickinson(Williston) ND,687,200687
South Dakota,Rapid City SD,764,200764
South Dakota,Sioux City IA,624,200624
South Dakota,Sioux Falls(Mitchell) SD,725,200725
Tennessee,Chattanooga TN,575,200575
Tennessee,Huntsville-Decatur (Florence) AL,691,200691
Tennessee,Jackson TN,639,200639
Tennessee,Knoxville TN,557,200557
Tennessee,Memphis TN,640,200640
Tennessee,Nashville TN,659,200659
Tennessee,Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,632,200632
Tennessee,Tri-Cities TN-VA,531,200531
Texas,Abilene-Sweetwater TX,662,200662
Texas,Amarillo TX,634,200634
Texas,Austin TX,635,200635
Texas,Beaumont-Port Arthur TX,692,200692
Texas,Corpus Christi TX,600,200600
Texas,Dallas-Ft. Worth TX,623,200623
Texas,El Paso TX,765,200765
Texas,Harlingen-Weslaco-Brownsville-McAllen TX,636,200636
Texas,Houston TX,618,200618
Texas,Laredo TX,749,200749
Texas,Lubbock TX,651,200651
Texas,Odessa-Midland TX,633,200633
Texas,San Angelo TX,661,200661
Texas,San Antonio TX,641,200641
Texas,Sherman TX-Ada OK,657,200657
Texas,Shreveport LA,612,200612
Texas,Tyler-Longview(Lufkin & Nacogdoches) TX,709,200709
Texas,Victoria TX,626,200626
Texas,Waco-Temple-Bryan TX,625,200625
Texas,Wichita Falls TX & Lawton OK,627,200627
Utah,Salt Lake City UT,770,200770
Vermont,Albany-Schenectady-Troy NY,532,200532
Vermont,Boston MA-Manchester NH,506,200506
Vermont,Burlington VT-Plattsburgh NY,523,200523
Virginia,Bluefield-Beckley-Oak Hill WV,559,200559
Virginia,Charlottesville VA,584,200584
Virginia,Greensboro-High Point-Winston Salem NC,518,200518
Virginia,Harrisonburg VA,569,200569
Virginia,Norfolk-Portsmouth-Newport News VA,544,200544
Virginia,Raleigh-Durham (Fayetteville) NC,560,200560
Virginia,Richmond-Petersburg VA,556,200556
Virginia,Roanoke-Lynchburg VA,573,200573
Virginia,Tri-Cities TN-VA,531,200531
Virginia,Washington DC (Hagerstown MD),511,200511
Washington,Portland OR,820,200820
Washington,Seattle-Tacoma WA,819,200819
Washington,Spokane WA,881,200881
Washington,Yakima-Pasco-Richland-Kennewick WA,810,200810
West Virginia,Bluefield-Beckley-Oak Hill WV,559,200559
West Virginia,Charleston-Huntington WV,564,200564
West Virginia,Clarksburg-Weston WV,598,200598
West Virginia,Harrisonburg VA,569,200569
West Virginia,Parkersburg WV,597,200597
West Virginia,Pittsburgh PA,508,200508
West Virginia,Roanoke-Lynchburg VA,573,200573
West Virginia,Washington DC (Hagerstown MD),511,200511
West Virginia,Wheeling WV-Steubenville OH,554,200554
Wisconsin,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,637,200637
Wisconsin,Duluth MN-Superior WI,676,200676
Wisconsin,Green Bay-Appleton WI,658,200658
Wisconsin,La Crosse-Eau Claire WI,702,200702
Wisconsin,Madison WI,669,200669
Wisconsin,Marquette MI,553,200553
Wisconsin,Milwaukee WI,617,200617
Wisconsin,Minneapolis-St. Paul MN,613,200613
Wisconsin,Wausau-Rhinelander WI,705,200705
Wyoming,Billings MT,756,200756
Wyoming,Casper-Riverton WY,767,200767
Wyoming,Cheyenne WY-Scottsbluff NE,759,200759
Wyoming,Idaho Falls-Pocatello ID,758,200758
Wyoming,Rapid City SD,764,200764
Wyoming,Salt Lake City UT,770,200770
