APNXId,displayName,dataProvider,DataCost,MinCPM,PercentOfMedia,subtype
143471,Auto:Buyers:Make:Chevrolet:Avanlanche,exelate,1,null,null,null
143472,Auto:Buyers:Make:Chevrolet:Suburban,exelate,1,null,null,null
143473,Auto:Buyers ~ Make:Chrysler:300,exelate,1,null,null,null
143474,Auto:Buyers:Make:Citroen,exelate,1,null,null,null
143475,Auto:Buyers:Make:Dacia,exelate,1,null,null,null
143476,Auto:Buyers:Make:Daihatsu,exelate,1,null,null,null
143477,Auto:Buyers:Make:Ferrari:458 Italia,exelate,1,null,null,null
143478,Auto:Buyers:Make:Ferrari:575,exelate,1,null,null,null
143479,Auto:Buyers:Make:Fiat:500,exelate,1,null,null,null
143480,Auto:Buyers:Make:Fisker:Karma,exelate,1,null,null,null
143481,Auto:Buyers:Make:Fiskers,exelate,1,null,null,null
143482,Auto:Buyers:Make:Ford:E series,exelate,1,null,null,null
143483,Auto:Buyers:Make:Ford:Shelby GT500,exelate,1,null,null,null
143484,Auto:Buyers:Make:Gumpert,exelate,1,null,null,null
143485,Auto:Buyers:Make:Hummer:H2,exelate,1,null,null,null
143486,Auto:Buyers:Make:Hyundai:Equus,exelate,1,null,null,null
143487,Auto:Buyers:Make:Infiniti:EX,exelate,1,null,null,null
143488,Auto:Buyers:Make:Infiniti:EX37,exelate,1,null,null,null
143489,Auto:Buyers:Make:Infiniti:FX,exelate,1,null,null,null
143490,Auto:Buyers:Make:Infiniti:G25,exelate,1,null,null,null
143491,Auto:Buyers:Make:Infiniti:G25x,exelate,1,null,null,null
143492,Auto:Buyers:Make:Infiniti:G37,exelate,1,null,null,null
143493,Auto:Buyers:Make:Infiniti:G37x,exelate,1,null,null,null
143494,Auto:Buyers:Make:Infiniti:M,exelate,1,null,null,null
143495,Auto:Buyers:Make:Infiniti:M35,exelate,1,null,null,null
143496,Auto:Buyers:Make:Infiniti:M35x,exelate,1,null,null,null
143497,Auto:Buyers:Make:Infiniti:M37,exelate,1,null,null,null
143498,Auto:Buyers:Make:Infiniti:M37x,exelate,1,null,null,null
143499,Auto:Buyers:Make:Infiniti:M45,exelate,1,null,null,null
143500,Auto:Buyers:Make:Infiniti:M45x,exelate,1,null,null,null
143501,Auto:Buyers:Make:Infiniti:M56,exelate,1,null,null,null
143502,Auto:Buyers:Make:Infiniti:M56x,exelate,1,null,null,null
143503,Auto:Buyers:Make:KTM,exelate,1,null,null,null
143504,Auto:Buyers:Make:Lada,exelate,1,null,null,null
143505,Auto:Buyers:Make:Lancia,exelate,1,null,null,null
143506,Auto:Buyers:Make:Maserati:Quattroporte,exelate,1,null,null,null
143507,Auto:Buyers:Make:Maybach:Landaulet,exelate,1,null,null,null
143508,Auto:Buyers:Make:Mazda:MX- Miata,exelate,1,null,null,null
143509,Auto:Buyers:Make:Mercedes:Sprinter van,exelate,1,null,null,null
143510,Auto:Buyers:Make:Mercedes:Sprinter wagon,exelate,1,null,null,null
143511,Auto:Buyers:Make:Mini:Cooper Clubman,exelate,1,null,null,null
143512,Auto:Buyers:Make:Mini:Cooper Countryman,exelate,1,null,null,null
143513,Auto:Buyers:Make:Mini:John Cooperworks,exelate,1,null,null,null
143514,Auto:Buyers:Make:Nissan:370Z,exelate,1,null,null,null
143515,Auto:Buyers:Make:Opel,exelate,1,null,null,null
143516,Auto:Buyers:Make:Pagani,exelate,1,null,null,null
143517,Auto:Buyers:Make:Peugeot,exelate,1,null,null,null
143518,Auto:Buyers:Make:Porsche:Cayman,exelate,1,null,null,null
143519,Auto:Buyers:Make:Renault,exelate,1,null,null,null
143520,Auto:Buyers:Make:Saab:9-4,exelate,1,null,null,null
143521,Auto:Buyers:Make:Seat,exelate,1,null,null,null
143522,Auto:Buyers:Make:Skoda,exelate,1,null,null,null
143523,Auto:Buyers:Make:SsangYong,exelate,1,null,null,null
143524,Auto:Buyers:Make:TranStar Racing,exelate,1,null,null,null
143525,Auto:Buyers:Make:Volvo:S30,exelate,1,null,null,null
143526,Auto:Buyers:Make:Volvo:V60,exelate,1,null,null,null
143527,Auto:Buyers:Make:Volvo:XC60,exelate,1,null,null,null
143528,Auto:Buyers:Make:VW:XC60,exelate,1,null,null,null
143529,Auto:Buyers:Make:Wiesmann,exelate,1,null,null,null
143530,Travel:Africa,exelate,1,null,null,null
143531,Travel:Canada:British Columbia:Vancouver,exelate,1,null,null,null
143532,Travel:Canada:Ontario:Toronto,exelate,1,null,null,null
143533,Travel:Canada:Quebec:Montreal,exelate,1,null,null,null
